original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
"1,3-Bisphosphoglycerat","1,3-Bisphosphoglycerat",1-3-bisphosphoglycerat,,,assets/molecules/nicht_vorhanden/1-3-bisphosphoglycerat__skeletal.svg,assets/molecules/nicht_vorhanden/1-3-bisphosphoglycerat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
2 ADP,2 ADP,2-adp,,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-adp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-adp__full_atoms.svg,structure,resolved,generated_structure,
2 ATP,2 ATP,2-atp,,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-atp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-atp__full_atoms.svg,structure,resolved,generated_structure,
2 Farnesylpyrophosphat,2 Farnesylpyrophosphat,2-farnesylpyrophosphat,,,assets/molecules/nicht_vorhanden/2-farnesylpyrophosphat__skeletal.svg,assets/molecules/nicht_vorhanden/2-farnesylpyrophosphat__full_atoms.svg,placeholder,unresolved,generated_placeholder,stoichiometric_expression
2 GSH,2 GSH,2-gsh,,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",assets/molecules/vorhanden/redox_cofaktoren/2-gsh__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-gsh__full_atoms.svg,structure,resolved,generated_structure,
2 H⁺,2 H⁺,2-hplus,,InChI=1S/p+1,assets/molecules/vorhanden/kleine_molekuele_ionen/2-hplus__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-hplus__full_atoms.svg,structure,resolved,generated_structure,
2 H₂O,2 H₂O,2-h-o,,InChI=1S/H2O/h1H2,assets/molecules/vorhanden/kleine_molekuele_ionen/2-h-o__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-h-o__full_atoms.svg,structure,resolved,generated_structure,
2 NADP⁺,2 NADP⁺,2-nadpplus,,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/2-nadpplus__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-nadpplus__full_atoms.svg,structure,resolved,generated_structure,
2 NADPH,2 NADPH,2-nadph,,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/2-nadph__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-nadph__full_atoms.svg,structure,resolved,generated_structure,
2 PPi,2 PPi,2-ppi,,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-4",assets/molecules/vorhanden/kleine_molekuele_ionen/2-ppi__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-ppi__full_atoms.svg,structure,resolved,generated_structure,
2 UDP,2 UDP,2-udp,,"InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-udp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-udp__full_atoms.svg,structure,resolved,generated_structure,
2 UDP-Glucuronat,2 UDP-Glucuronat,2-udp-glucuronat,,"InChI=1S/C15H22N2O18P2/c18-5-1-2-17(15(26)16-5)12-9(22)6(19)4(32-12)3-31-36(27,28)35-37(29,30)34-14-10(23)7(20)8(21)11(33-14)13(24)25/h1-2,4,6-12,14,19-23H,3H2,(H,24,25)(H,27,28)(H,29,30)(H,16,18,26)/t4-,6-,7+,8+,9-,10-,11+,12-,14-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-udp-glucuronat__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-udp-glucuronat__full_atoms.svg,structure,resolved,generated_structure,
2-Phosphoglycerat,2-Phosphoglycerat,2-phosphoglycerat,,,assets/molecules/nicht_vorhanden/2-phosphoglycerat__skeletal.svg,assets/molecules/nicht_vorhanden/2-phosphoglycerat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
"2,3-Bisphosphoglycerat","2,3-Bisphosphoglycerat",2-3-bisphosphoglycerat,,,assets/molecules/nicht_vorhanden/2-3-bisphosphoglycerat__skeletal.svg,assets/molecules/nicht_vorhanden/2-3-bisphosphoglycerat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
3-Phosphoglycerat,3-Phosphoglycerat,3-phosphoglycerat,,,assets/molecules/nicht_vorhanden/3-phosphoglycerat__skeletal.svg,assets/molecules/nicht_vorhanden/3-phosphoglycerat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
6-Phosphogluconolakton,6-Phosphogluconolakton,6-phosphogluconolakton,,,assets/molecules/nicht_vorhanden/6-phosphogluconolakton__skeletal.svg,assets/molecules/nicht_vorhanden/6-phosphogluconolakton__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
6-Phosphoglukonat,6-Phosphoglukonat,6-phosphoglukonat,,,assets/molecules/nicht_vorhanden/6-phosphoglukonat__skeletal.svg,assets/molecules/nicht_vorhanden/6-phosphoglukonat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Acetoacetat,Acetoacetat,acetoacetat,,,assets/molecules/nicht_vorhanden/acetoacetat__skeletal.svg,assets/molecules/nicht_vorhanden/acetoacetat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Acetoacetyl-ACP,Acetoacetyl-ACP,acetoacetyl-acp,,,assets/molecules/nicht_vorhanden/acetoacetyl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/acetoacetyl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Acetoacetyl-CoA,Acetoacetyl-CoA,acetoacetyl-coa,,"InChI=1S/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t14-,18-,19-,20+,24-/m1/s1",assets/molecules/vorhanden/coa_thioester/acetoacetyl-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/acetoacetyl-coa__full_atoms.svg,structure,resolved,generated_structure,
Aceton,Aceton,aceton,,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,assets/molecules/vorhanden/kleine_molekuele_ionen/aceton__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/aceton__full_atoms.svg,structure,resolved,generated_structure,
Acetyl-ACP,Acetyl-ACP,acetyl-acp,,,assets/molecules/nicht_vorhanden/acetyl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/acetyl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Acetyl-CoA,Acetyl-CoA,acetyl-coa,,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1",assets/molecules/vorhanden/coa_thioester/acetyl-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/acetyl-coa__full_atoms.svg,structure,resolved,generated_structure,
ACP,ACP,acp,,,assets/molecules/nicht_vorhanden/acp__skeletal.svg,assets/molecules/nicht_vorhanden/acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,cofactor_or_large_group
Acyl-CoA,Acyl-CoA,acyl-coa,,,assets/molecules/nicht_vorhanden/acyl-coa__skeletal.svg,assets/molecules/nicht_vorhanden/acyl-coa__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Adenosin,Adenosin,adenosin,,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/adenosin__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/adenosin__full_atoms.svg,structure,resolved,generated_structure,
ADP,ADP,adp,,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/adp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/adp__full_atoms.svg,structure,resolved,generated_structure,
Akzeptor,Acceptor,akzeptor,,,assets/molecules/nicht_vorhanden/akzeptor__skeletal.svg,assets/molecules/nicht_vorhanden/akzeptor__full_atoms.svg,placeholder,unresolved,generated_placeholder,placeholder_term
Aminosäure,Amino acid,aminosaeure,,,assets/molecules/nicht_vorhanden/aminosaeure__skeletal.svg,assets/molecules/nicht_vorhanden/aminosaeure__full_atoms.svg,placeholder,unresolved,generated_placeholder,placeholder_term
AMP,AMP,amp,,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/amp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/amp__full_atoms.svg,structure,resolved,generated_structure,
Arginin,Arginine,arginin,,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",assets/molecules/vorhanden/aminosaeuren/arginin__skeletal.svg,,structure,resolved,generated_structure,
Argininosuccinat,Argininosuccinate,argininosuccinat,,"InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)",assets/molecules/vorhanden/harnstoffzyklus/argininosuccinat__skeletal.svg,assets/molecules/vorhanden/harnstoffzyklus/argininosuccinat__full_atoms.svg,structure,resolved,generated_structure,
Aspartat,Aspartate,aspartat,,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",assets/molecules/vorhanden/aminosaeuren/aspartat__skeletal.svg,,structure,resolved,generated_structure,
ATP,ATP,atp,,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/atp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/atp__full_atoms.svg,structure,resolved,generated_structure,
BH2,BH2,bh2,,,assets/molecules/nicht_vorhanden/bh2__skeletal.svg,assets/molecules/nicht_vorhanden/bh2__full_atoms.svg,placeholder,unresolved,generated_placeholder,element_or_simple_ion
BH4,BH4,bh4,,"InChI=1S/C9H15N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3-4,6,12,15-16H,2H2,1H3,(H4,10,11,13,14,17)/t3-,4+,6-/m0/s1",assets/molecules/vorhanden/redox_cofaktoren/bh4__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/bh4__full_atoms.svg,structure,resolved,generated_structure,
Bilirubin,Bilirubin,bilirubin,,"InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-",assets/molecules/vorhanden/bilirubin/bilirubin__skeletal.svg,assets/molecules/vorhanden/bilirubin/bilirubin__full_atoms.svg,structure,resolved,generated_structure,
Bilirubin-Diglucuronid,Bilirubin diglucuronide,bilirubin-diglucuronid,,"InChI=1S/C45H52N4O18/c1-7-20-19(6)40(58)49-27(20)14-25-18(5)23(10-12-31(51)65-45-37(57)33(53)35(55)39(67-45)43(62)63)29(47-25)15-28-22(17(4)24(46-28)13-26-16(3)21(8-2)41(59)48-26)9-11-30(50)64-44-36(56)32(52)34(54)38(66-44)42(60)61/h7-8,13-14,32-39,44-47,52-57H,1-2,9-12,15H2,3-6H3,(H,48,59)(H,49,58)(H,60,61)(H,62,63)/b26-13-,27-14-/t32-,33-,34-,35-,36+,37+,38-,39-,44+,45+/m0/s1",assets/molecules/vorhanden/bilirubin/bilirubin-diglucuronid__skeletal.svg,assets/molecules/vorhanden/bilirubin/bilirubin-diglucuronid__full_atoms.svg,structure,resolved,generated_structure,
Biliverdin,Biliverdin,biliverdin,,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/b24-13-,27-14-,28-15-",assets/molecules/vorhanden/bilirubin/biliverdin__skeletal.svg,assets/molecules/vorhanden/bilirubin/biliverdin__full_atoms.svg,structure,resolved,generated_structure,
Butyryl-ACP,Butyryl-ACP,butyryl-acp,,,assets/molecules/nicht_vorhanden/butyryl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/butyryl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Carbamoylphosphat,Carbamoyl phosphate,carbamoylphosphat,,"InChI=1S/CH4NO5P/c2-1(3)7-8(4,5)6/h(H2,2,3)(H2,4,5,6)",assets/molecules/vorhanden/harnstoffzyklus/carbamoylphosphat__skeletal.svg,assets/molecules/vorhanden/harnstoffzyklus/carbamoylphosphat__full_atoms.svg,structure,resolved,generated_structure,
Cholesterin,Cholesterol,cholesterin,,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",assets/molecules/vorhanden/isoprenoide_sterole/cholesterin__skeletal.svg,assets/molecules/vorhanden/isoprenoide_sterole/cholesterin__full_atoms.svg,structure,resolved,generated_structure,
Citrat,Citrate,citrat,,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",assets/molecules/vorhanden/citratzyklus/citrat__skeletal.svg,assets/molecules/vorhanden/citratzyklus/citrat__full_atoms.svg,structure,resolved,generated_structure,
Citrullin,Citrulline,citrullin,,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)",assets/molecules/vorhanden/harnstoffzyklus/citrullin__skeletal.svg,assets/molecules/vorhanden/harnstoffzyklus/citrullin__full_atoms.svg,structure,resolved,generated_structure,
CO,CO,co,,InChI=1S/Co,assets/molecules/vorhanden/kleine_molekuele_ionen/co__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/co__full_atoms.svg,structure,resolved,generated_structure,
CO₂,CO₂,co-2,,InChI=1S/CO2/c2-1-3,assets/molecules/vorhanden/kleine_molekuele_ionen/co-2__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/co-2__full_atoms.svg,structure,resolved,generated_structure,
CoA,CoA,coa,,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",assets/molecules/vorhanden/coa_thioester/coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/coa__full_atoms.svg,structure,resolved,generated_structure,
Crotonyl-ACP,Crotonyl-ACP,crotonyl-acp,,,assets/molecules/nicht_vorhanden/crotonyl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/crotonyl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Cystathionin,Cystathionine,cystathionin,,"InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)",assets/molecules/vorhanden/aminosaeuren_metabolite/cystathionin__skeletal.svg,assets/molecules/vorhanden/aminosaeuren_metabolite/cystathionin__full_atoms.svg,structure,resolved,generated_structure,
Cystein,Cysteine,cystein,,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",assets/molecules/vorhanden/aminosaeuren/cystein__skeletal.svg,,structure,resolved,generated_structure,
D-3-Hydroxybutyryl-ACP,D-3-Hydroxybutyryl-ACP,d-3-hydroxybutyryl-acp,,,assets/molecules/nicht_vorhanden/d-3-hydroxybutyryl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/d-3-hydroxybutyryl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
D-Glucose,D-Glucose,d-glucose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/d-glucose__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/d-glucose__full_atoms.svg,structure,resolved,generated_structure,
